file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.js,7,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,61
index.js,8,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,18
index.js,9,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,25
index.js,10,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,3
index.js,11,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,56
index.js,12,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,56
index.js,13,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,50
index.js,14,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,50
index.js,15,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,60
index.js,16,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,4
index.js,17,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,1
index.js,18,js,08e076b2,prithvikochhar,2025-04-25,19:08:35,-07:00,2025-04-25T19:08:35-07:00,0,0
index.html,1,html,192de6f8,prithvikochhar,2025-04-03,22:31:52,-07:00,2025-04-03T22:31:52-07:00,0,14
index.html,2,html,192de6f8,prithvikochhar,2025-04-03,22:31:52,-07:00,2025-04-03T22:31:52-07:00,0,15
index.html,3,html,192de6f8,prithvikochhar,2025-04-03,22:31:52,-07:00,2025-04-03T22:31:52-07:00,0,5
index.html,4,html,192de6f8,prithvikochhar,2025-04-03,22:31:52,-07:00,2025-04-03T22:31:52-07:00,0,21
index.html,5,html,192de6f8,prithvikochhar,2025-04-03,22:31:52,-07:00,2025-04-03T22:31:52-07:00,0,69
index.html,6,html,192de6f8,prithvikochhar,2025-04-03,22:31:52,-07:00,2025-04-03T22:31:52-07:00,0,58
